attribute,category,n,fraud_rate,review_rate,recall,fpr,pr_auc,reliable
P_emaildomain,juno.com,35,0.0,0.0,nan,0.0,nan,False
P_emaildomain,ymail.com,367,0.013623978201634877,0.1226158038147139,0.0,0.12430939226519337,0.026475479781761353,False
P_emaildomain,sbcglobal.net,410,0.0024390243902439024,0.11951219512195121,1.0,0.11735941320293398,1.0,False
P_emaildomain,bellsouth.net,223,0.026905829596412557,0.17040358744394618,0.8333333333333334,0.15207373271889402,0.43096641417536935,False
P_emaildomain,msn.com,585,0.04786324786324787,0.15384615384615385,0.21428571428571427,0.15080789946140036,0.09564036132123505,True
P_emaildomain,q.com,27,0.0,0.07407407407407407,nan,0.07407407407407407,nan,False
P_emaildomain,yahoo.com.mx,202,0.0049504950495049506,0.25742574257425743,0.0,0.25870646766169153,0.010101010101010102,False
P_emaildomain,centurylink.net,31,0.0,0.0967741935483871,nan,0.0967741935483871,nan,False
P_emaildomain,servicios-ta.com,7,0.0,0.8571428571428571,nan,0.8571428571428571,nan,False
P_emaildomain,earthlink.net,75,0.06666666666666667,0.14666666666666667,0.8,0.1,0.4242081949058693,False
P_emaildomain,hotmail.es,48,0.08333333333333333,0.6458333333333334,1.0,0.6136363636363636,0.9166666666666666,False
P_emaildomain,cfl.rr.com,30,0.0,0.1,nan,0.1,nan,False
P_emaildomain,roadrunner.com,49,0.0,0.2653061224489796,nan,0.2653061224489796,nan,False
P_emaildomain,netzero.net,26,0.0,0.11538461538461539,nan,0.11538461538461539,nan,False
P_emaildomain,gmx.de,25,0.0,0.68,nan,0.68,nan,False
P_emaildomain,suddenlink.net,53,0.0,0.22641509433962265,nan,0.22641509433962265,nan,False
P_emaildomain,frontiernet.net,32,0.0,0.09375,nan,0.09375,nan,False
P_emaildomain,windstream.net,65,0.0,0.18461538461538463,nan,0.18461538461538463,nan,False
P_emaildomain,frontier.com,38,0.18421052631578946,0.02631578947368421,0.0,0.03225806451612903,0.42893733250876104,False
P_emaildomain,outlook.es,42,0.023809523809523808,0.3333333333333333,0.0,0.34146341463414637,0.03225806451612903,False
P_emaildomain,mac.com,60,0.05,0.21666666666666667,1.0,0.17543859649122806,0.6805555555555556,False
P_emaildomain,netzero.com,28,0.0,0.0,nan,0.0,nan,False
P_emaildomain,aim.com,29,0.0,0.6551724137931034,nan,0.6551724137931034,nan,False
P_emaildomain,web.de,39,0.0,0.3333333333333333,nan,0.3333333333333333,nan,False
P_emaildomain,twc.com,27,0.0,0.0,nan,0.0,nan,False
P_emaildomain,cableone.net,21,0.0,0.047619047619047616,nan,0.047619047619047616,nan,False
P_emaildomain,yahoo.fr,37,0.0,0.10810810810810811,nan,0.10810810810810811,nan,False
P_emaildomain,yahoo.de,14,0.0,0.5,nan,0.5,nan,False
P_emaildomain,yahoo.es,17,0.0,0.058823529411764705,nan,0.058823529411764705,nan,False
P_emaildomain,sc.rr.com,28,0.0,0.10714285714285714,nan,0.10714285714285714,nan,False
P_emaildomain,ptd.net,6,0.0,0.16666666666666666,nan,0.16666666666666666,nan,False
P_emaildomain,live.fr,18,0.0,0.6666666666666666,nan,0.6666666666666666,nan,False
P_emaildomain,yahoo.co.uk,3,0.0,0.0,nan,0.0,nan,False
P_emaildomain,hotmail.fr,52,0.0,0.25,nan,0.25,nan,False
P_emaildomain,hotmail.de,5,0.0,0.4,nan,0.4,nan,False
P_emaildomain,hotmail.co.uk,21,0.0,0.2857142857142857,nan,0.2857142857142857,nan,False
P_emaildomain,protonmail.com,8,0.0,0.375,nan,0.375,nan,False
P_emaildomain,yahoo.co.jp,2,0.0,0.0,nan,0.0,nan,False
